text,label
"Hi Arjun, just confirming our meeting scheduled for Friday at 3 PM. Please let me know if anything changes.",ham
Exclusive deal just for you! Get a huge discount and a FREE bonus when you order today.,spam
Congratulations winner! You qualify for a free vacation package. Claim your offer now.,spam
"Hi Pooja, thanks for your message. I will check the document and get back to you tomorrow.",ham
"Hi Rahul, just confirming our meeting scheduled for Wednesday at 2 PM. Please let me know if anything changes.",ham
"Hi Ankit, just confirming our meeting scheduled for Tuesday at 10 AM. Please let me know if anything changes.",ham
"Hi, can you send me the notes from today's class? I want to review them before the next session.",ham
Congratulations winner! You qualify for a free vacation package. Claim your offer now.,spam
Special offer! Get 90% discount today only. Click now before this amazing deal expires.,spam
Your account has won a promotional reward. Verify your information immediately to receive the money.,spam
"Dear team, the monthly report is ready for review. Please share your feedback by Tuesday.",ham
FINAL NOTICE! Your reward is waiting. Click here now to claim your prize before midnight.,spam
"Hello Pooja, this is a reminder about the pending assignment. Please submit it before the deadline.",ham
Exclusive deal just for you! Get a huge discount and a FREE bonus when you order today.,spam
You are a lucky winner! Claim your FREE gift card immediately. Limited slots available.,spam
Exclusive deal just for you! Get a huge discount and a FREE bonus when you order today.,spam
"Hi Karan, thanks for your message. I will check the document and get back to you tomorrow.",ham
Your account has won a promotional reward. Verify your information immediately to receive the money.,spam
"Hi, can you send me the notes from today's class? I want to review them before the next session.",ham
"Hi Priya, thanks for your message. I will check the document and get back to you tomorrow.",ham
URGENT! You have been selected for a limited time bonus. Click the link to claim your free reward.,spam
"Hello, your support request has been received. Our team is reviewing the issue and will respond shortly.",ham
"Hi, I have attached the invoice for your records. Please contact us if you notice any issue.",ham
"Hello, your appointment is confirmed for Tuesday at 4 PM. Please arrive 10 minutes early.",ham
"Dear colleague, could we reschedule our discussion to Thursday afternoon? Please confirm what time works for you.",ham
WARNING: Your account may be suspended. Verify your details immediately using the secure link below.,spam
"Dear customer, your order has been successfully received and is being processed. We will update you when it ships.",ham
URGENT! You have been selected for a limited time bonus. Click the link to claim your free reward.,spam
"Hi team, the training session will start at 3 PM. Please join using the meeting link shared earlier.",ham
"Hello Aman, please find the project update attached. We completed the assigned tasks and will continue with the next phase.",ham
"Hello, your support request has been received. Our team is reviewing the issue and will respond shortly.",ham
"Dear customer, your order has been successfully received and is being processed. We will update you when it ships.",ham
Congratulations winner! You qualify for a free vacation package. Claim your offer now.,spam
"Hello Riya, this is a reminder about the pending assignment. Please submit it before the deadline.",ham
Exclusive deal just for you! Get a huge discount and a FREE bonus when you order today.,spam
"Dear customer, your order has been successfully received and is being processed. We will update you when it ships.",ham
WARNING: Your account may be suspended. Verify your details immediately using the secure link below.,spam
Earn thousands from home with our easy opportunity. Register today and start making money instantly.,spam
Congratulations winner! You qualify for a free vacation package. Claim your offer now.,spam
